Date,Mean Temperature,PM10,SO2
2021-10-21,13.0,11.95,6.16
2021-10-22,16.5,20.06,11.52
2021-10-23,14.5,27.44,13.05
2021-10-24,13.0,25.06,10.78
2021-10-25,6.0,29.03,6.82
2021-10-26,9.5,33.0,9.34
2021-10-27,11.0,43.1,9.42
2021-10-28,9.0,45.24,12.04
2021-10-29,8.0,56.26,14.08
2021-10-30,12.5,54.48,8.16
2021-10-31,15.0,40.59,9.26
2021-11-01,16.0,50.7,9.45
2021-11-02,16.5,57.26,11.42
2021-11-03,16.5,45.3,9.86
2021-11-04,16.0,45.56,10.05
2021-11-05,15.5,41.76,11.03
2021-11-06,15.5,41.82,8.68
2021-11-07,11.5,50.49,8.72
2021-11-08,13.5,51.13,10.46
2021-11-09,14.5,63.36,13.86
2021-11-10,8.5,40.19,8.87
2021-11-11,6.0,33.69,11.61
2021-11-12,8.0,49.55,14.29
2021-11-13,10.5,53.78,17.63
2021-11-14,11.0,53.04,17.14
2021-11-15,10.0,51.62,13.19
2021-11-16,9.5,43.35,11.39
2021-11-17,10.0,48.54,10.96
2021-11-18,9.5,52.21,14.51
2021-11-19,8.0,65.36,17.78
2021-11-20,8.5,56.29,13.25
2021-11-21,9.0,41.31,12.1
2021-11-22,9.5,59.74,22.61
2021-11-23,9.5,69.59,25.4
2021-11-24,8.0,42.61,12.3
2021-11-25,6.5,48.17,17.21
2021-11-26,9.0,34.6,14.48
2021-11-27,9.0,40.34,19.12
2021-11-28,10.0,58.03,27.3
2021-11-29,13.0,49.79,20.9
2021-11-30,14.0,67.3,28.51
2021-12-01,4.5,32.04,12.8
2021-12-02,4.0,50.51,19.13
2021-12-03,6.0,34.07,20.69
2021-12-04,6.0,37.82,19.51
2021-12-05,8.0,54.35,30.58
2021-12-06,9.0,50.07,29.05
2021-12-07,10.0,51.63,18.7
2021-12-08,12.0,55.760000000000005,29.24
2021-12-09,10.0,59.89,19.71
2021-12-10,10.5,27.64,16.94
2021-12-11,9.0,22.39,14.83
2021-12-12,9.0,27.76,17.36
2021-12-13,9.5,27.41,21.56
2021-12-14,9.0,39.55,26.04
2021-12-15,11.5,51.49,27.61
2021-12-16,12.5,58.8,24.57
2021-12-17,8.5,36.57,11.15
2021-12-18,7.0,37.06,9.43
2021-12-19,5.0,21.81,12.44
2021-12-20,9.0,29.4,14.83
2021-12-21,2.0,17.85,8.04
2021-12-22,-0.5,25.88,7.5
2021-12-23,-1.5,33.91,13.9
2021-12-24,-2.0,19.67,7.89
2021-12-25,-1.5,22.61,15.52
2021-12-26,3.0,25.09,18.29
2021-12-27,4.0,34.59,29.48
2021-12-28,4.0,34.91,35.02
2021-12-29,3.5,34.71,29.1
2021-12-30,3.6666666666666665,34.51,40.61
2021-12-31,3.8333333333333335,34.31,31.56
2022-01-01,4.0,49.65,35.39
2022-01-02,3.5,27.26,15.44
2022-01-03,2.0,16.84,13.08
2022-01-04,2.0,39.47,27.25
2022-01-05,5.0,40.06,31.99
2022-01-06,5.0,26.16,23.18
2022-01-07,5.0,31.9,28.09
2022-01-08,6.5,31.86,21.34
2022-01-09,6.5,23.48,16.87
2022-01-10,7.5,30.06,24.21
2022-01-11,7.5,36.65,29.95
2022-01-12,8.5,36.21,28.99
2022-01-13,1.0,13.37,10.04
2022-01-14,-0.5,18.9025,11.19
2022-01-15,-1.0,24.435000000000002,12.34
2022-01-16,-1.5,29.9675,13.49
2022-01-17,-1.0,35.5,14.64
2022-01-18,-2.5,32.45,25.04
2022-01-19,-1.5,14.66,12.0
2022-01-20,-2.0,23.34,15.31
2022-01-21,0.5,15.77,12.85
2022-01-22,2.0,17.5,14.92
2022-01-23,5.0,15.42,11.73
2022-01-24,2.5,26.49,19.29
2022-01-25,1.5,23.86,17.98
2022-01-26,2.5,24.22,20.6
2022-01-27,1.0,5.93,9.79
2022-01-28,0.0,30.11,21.6
2022-01-29,0.5,28.99,24.68
2022-01-30,2.0,29.95,19.895
2022-01-31,6.0,25.95,15.11
2022-02-01,5.0,59.06,23.04
2022-02-02,7.5,30.78,17.16
2022-02-03,10.0,34.14,8.62
2022-02-04,5.5,31.483333333333334,23.88
2022-02-05,-1.0,28.826666666666668,20.634999999999998
2022-02-06,1.0,26.17,17.39
2022-02-07,4.0,25.13,19.53
2022-02-08,5.0,24.25,22.29
2022-02-09,9.5,35.95,25.27
2022-02-10,2.5,26.305,12.31
2022-02-11,4.5,16.66,15.61
2022-02-12,5.5,15.5,13.4
2022-02-13,3.0,43.31,22.74
2022-02-14,5.5,30.92,11.76
2022-02-15,4.5,44.56,17.47
2022-02-16,3.5,59.97,14.33
2022-02-17,6.0,47.53,20.15
2022-02-18,8.0,42.29,20.14
2022-02-19,6.0,38.21,14.38
2022-02-20,8.5,56.37,16.14
2022-02-21,7.5,62.04,27.27
2022-02-22,11.5,30.97,11.18
2022-02-23,12.5,41.65,17.0
2022-02-24,13.0,34.335,11.74
2022-02-25,14.0,27.02,8.66
2022-02-26,5.5,9.7,11.06
2022-02-27,7.0,24.9,11.55
2022-02-28,10.5,23.35,12.75
2022-03-01,7.0,25.81,21.09
2022-03-02,10.0,18.52,13.78
2022-03-03,10.5,16.27,12.12
2022-03-04,2.0,18.560000000000002,8.72
2022-03-05,2.5,20.85,9.71
2022-03-06,2.0,24.03,11.37
2022-03-07,6.5,17.67,9.11
2022-03-08,4.5,17.89,13.92
2022-03-09,3.0,12.62,9.28
2022-03-10,2.5,14.04,11.76
2022-03-11,1.5,12.49,7.71
2022-03-12,-0.5,8.73,8.98
2022-03-13,-1.0,16.16,10.1
2022-03-14,-0.5,19.8,10.43
2022-03-15,0.0,14.85,9.18
2022-03-16,-0.5,20.25,9.14
2022-03-17,1.0,20.16,9.04
2022-03-18,-1.0,12.56,9.96
2022-03-19,-1.0,13.21,7.86
2022-03-20,0.5,13.86,9.58
